INDUS proportion of non-retail business acres per town,NOX nitric oxides concentration (parts per 10 million),RM average number of rooms per dwelling,"TAX full-value property-tax rate per $10,000",PTRATIO pupil-teacher ratio by town,LSTAT % lower status of the population,MEDV
2.31,0.538,6.575,296.0,15.3,4.98,24.0
7.07,0.469,6.421,242.0,17.8,9.14,21.6
7.07,0.469,7.185,242.0,17.8,4.03,34.7
2.18,0.458,6.998,222.0,18.7,2.94,33.4
2.18,0.458,7.147,222.0,18.7,5.33,36.2
2.18,0.458,6.43,222.0,18.7,5.21,28.7
7.87,0.524,6.012,311.0,15.2,12.43,22.9
7.87,0.524,6.172,311.0,15.2,19.15,27.1
7.87,0.524,5.631,311.0,15.2,29.93,16.5
7.87,0.524,6.004,311.0,15.2,17.1,18.9
7.87,0.524,6.377,311.0,15.2,20.45,15.0
7.87,0.524,6.009,311.0,15.2,13.27,18.9
7.87,0.524,5.889,311.0,15.2,15.71,21.7
8.14,0.538,5.949,307.0,21.0,8.26,20.4
8.14,0.538,6.096,307.0,21.0,10.26,18.2
8.14,0.538,5.834,307.0,21.0,8.47,19.9
8.14,0.538,5.935,307.0,21.0,6.58,23.1
8.14,0.538,5.99,307.0,21.0,14.67,17.5
8.14,0.538,5.727,307.0,21.0,11.28,18.2
8.14,0.538,5.57,307.0,21.0,21.02,13.6
8.14,0.538,5.965,307.0,21.0,13.83,19.6
8.14,0.538,6.142,307.0,21.0,18.72,15.2
8.14,0.538,5.813,307.0,21.0,19.88,14.5
8.14,0.538,5.924,307.0,21.0,16.3,15.6
8.14,0.538,5.813,307.0,21.0,14.81,16.6
8.14,0.538,6.495,307.0,21.0,12.8,18.4
8.14,0.538,6.674,307.0,21.0,11.98,21.0
8.14,0.538,5.713,307.0,21.0,22.6,12.7
8.14,0.538,6.072,307.0,21.0,13.04,14.5
8.14,0.538,5.701,307.0,21.0,18.35,13.1
5.96,0.499,5.933,279.0,19.2,9.68,18.9
5.96,0.499,5.841,279.0,19.2,11.41,20.0
5.96,0.499,5.85,279.0,19.2,8.77,21.0
5.96,0.499,5.966,279.0,19.2,10.13,24.7
6.91,0.448,6.77,233.0,17.9,4.84,26.6
6.91,0.448,6.169,233.0,17.9,5.81,25.3
6.91,0.448,6.211,233.0,17.9,7.44,24.7
6.91,0.448,6.069,233.0,17.9,9.55,21.2
